Hour,BE,DE,DK,ES,FI,FR,GR,HR,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,UK
1,5033.597675148738,24102.51870093302,3184.0085084847847,1315.5439405320499,70.199546075325,2249.9783602147204,698.5160152585861,115.42700185505556,898.1621187995418,2568.882097065521,195.424077225468,27.53707875815345,15680.620468113364,2703.6128534631052,1202.151455557619,208.5044576044076,413.6884513440889,168.2026791081021,43337.95724781408
2,5095.024821613459,19301.734069634327,2959.863166772784,1291.7408295849054,83.3303310532667,2317.012773889813,785.6718329370366,100.22067530237854,909.9404530346653,2668.813591511608,176.6978311385333,24.6341417734062,15706.819327799922,2644.451870411842,925.3514848462867,181.18473385404423,455.7452258588761,137.52919166392778,43697.76776402898
3,5159.760305273641,17166.0882099646,2754.8378192496966,1281.8366656798512,104.0647637751021,2467.466685680432,836.2318537317924,88.99591365018067,931.291816241081,2637.9305506254755,148.46683031182982,25.3676605648729,15651.985244144726,2594.729110703992,761.3923192324115,157.4494379956424,504.25589750675135,117.21898523109047,43723.81600882422
4,5177.165670938693,18055.039618096853,2530.744564942451,1278.949739540156,146.85010064061922,2572.658843683642,856.7339861383153,78.92739737119513,959.6802347413703,2599.602925068449,145.2761272768225,25.29051788392675,15187.618369858821,2561.3139282187904,583.8436211353098,145.1399293176128,523.2978938689239,99.47920592174869,43762.61509893364
5,5120.18,18282.45442269013,2499.9779043453004,1276.2965885419608,171.6108300199089,2582.6903128956565,852.5123148799746,68.01487780838634,943.0165255727553,2537.5459123295855,127.7320090226572,22.33249139898125,14659.921815629126,2550.6519663281333,440.2504283874032,139.1306942778522,553.489441084585,88.41574919973455,43981.80776924705
6,5045.28,19108.258253569456,2688.6118941397044,1273.8114025643572,157.8816328098275,2487.383014223214,854.4614415540881,59.09714250983392,912.4331854556063,2575.2369831055826,115.67691201799376,17.7132732924936,14654.574763381359,2551.0808771317916,412.12243388257593,119.596791263931,533.6683561168118,87.40754074537878,44166.334692955345
7,5008.6,21967.9793347074,2857.257472406235,1268.4164421916848,142.3361475239728,2409.5924660397236,820.7800208305587,53.17743115449119,1018.1491168549062,2601.305603973569,94.59083724368838,14.594473103375199,15217.186271821265,2588.019912589671,380.53051286660775,87.3837975386814,452.5240154273457,84.36605610047178,44001.0969212338
8,4964.08,22630.455260822597,3024.449037795198,1277.5806553114674,135.1368240781587,2398.0120936845024,789.2177568730783,48.13138369944494,1230.0161730478922,2550.9322822783856,75.58787878376336,13.12063909625665,15463.827889982093,2614.920241823327,318.654232328623,48.7587290192164,362.44483604794857,83.18719664167182,43934.81306679471
9,4926.28,23218.512835412264,3305.717672189102,1273.2451737991796,146.7203314190032,2421.9525199696236,804.6427904614744,42.78745748546236,1439.445285521521,2506.8515290182427,60.17562832665622,10.884084606727251,15670.454317020873,2595.496369309775,292.75427957052625,23.8715366323732,286.3469663259868,84.34230080308608,43827.61459037052
10,4859.22,23191.007647791776,3657.657778028961,1248.5561197901352,175.95278258814471,2504.870371212958,838.2083511840951,33.49121857750799,1668.764596114278,2467.305241807393,43.53702927813694,9.7106414167463,15713.631643520082,2521.068590506435,230.15223307743153,12.1542391073676,251.5755282214483,92.06408506150164,43906.764898674424
11,4740.22,23289.319985591657,3966.8223023728942,1156.9525619235496,176.53573798792928,2418.6479247717334,875.5602752528789,27.12305813007868,1771.9376176722562,2426.5344742227417,70.57569988313446,12.9407890284813,15701.214566661522,2364.5388474886495,206.65253253478218,17.919141232998598,190.0473421236396,89.89707747811086,43797.96078765185
12,4691.36,23971.38497559131,4259.397035548935,1154.3193130531101,215.5890734699212,2511.390332886337,976.8386232300738,29.65836848013943,1771.451559926714,2575.765958222785,91.85657367977817,20.20076570199605,15709.253951071074,2275.852882265742,172.32671033405646,26.5075975094074,191.8656832925733,89.60387723694072,43953.876252218724
13,4704.659976100799,24272.524550815793,4577.914756178459,1104.7703260588614,251.73230448644912,2604.089122908032,1037.1958051560537,36.22600195740703,1780.1392274318641,2601.4324401600193,101.0348663238313,31.1015627834005,15697.87722626062,2138.6313335223012,161.71921498196926,25.084553950653802,205.2699668260516,90.79962505720884,43698.041320342425
