Hour,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,62.685657471642834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1474450373396,0.0,0.0,0.0,27.801589156395707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,67.89497229193128,0.0,19.698002674970237,0.0,343.88250618966146,0.0,160.74943295905445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.2944007614929,32.915714474204655,403.4674960744433,0.0,3137.148401911363,0.0,0.0,0.0,4.008122146255286,109.14418324839035,11.800949922966337,0.0,0.0,4.526806663108468,0.0,717.5153673199709,56.680791602464936,0.0,0.0,0.0,0.0
9,161.0696071447014,1500.616300075347,59.88788674850967,0.0,686.0388628783401,117.32066129225377,244.77271735823408,313.52784573407916,1069.9862839506118,0.0,5.9539690007056,4149.721540181805,0.0,1567.533575560899,3139.4687361065035,124.07224106907161,1235.870380660575,0.0,10644.912055594066,52.17695843004302,0.0,3.8282223154471193,8.819401199323815,220.63817440893,33.999078848200355,0.0,0.0,972.2911782833299,0.0,1564.8994623615674,143.32821113843198,0.0,262.58237055260076,144.33066866633294,0.0
10,237.53273164321683,2868.677018563919,110.64496198449483,332.85729045038687,918.3166187200505,488.9070396684819,286.8858960375531,810.8518977319037,8213.37414853891,181.17974333329727,82.29722514253737,15555.058252932418,74.9416306687583,4875.687695104611,4432.384336826398,213.98095029906847,1874.8082669705514,0.0,15891.425931137092,232.44249807420817,13.743166473814398,12.12896508818121,13.020447259936759,290.26714451338563,59.088726147973695,991.1291557204124,0.0,2308.3736185986354,2599.808061224996,2289.381881874133,229.18931610170813,173.9009306814056,627.5507320762703,287.0726461850112,3485.2302432070255
11,283.77841261421213,3984.5755818544912,147.8432030218688,885.8651937234958,1137.3851504416027,897.9386091905358,324.5418553981633,1480.8441292052776,15413.526133385136,526.9048753621205,97.71168996679364,24813.716731487486,587.5197402836567,8061.570363485108,5050.2303376614445,273.7503087315954,2617.6940794141697,515.4682022451494,19835.786240079957,411.28854076129926,36.35270983840371,14.315635687436224,15.48030718969693,350.1754806495912,73.0077054495798,2484.0217325545873,256.0928287977564,3364.6835015288366,4674.090457764353,2755.92052311908,279.24095123740267,656.1153814123733,892.3078992092094,378.61176144661067,8972.852231765422
12,297.6375968427142,4618.8231919285945,155.0739870773636,1544.8148491203692,1243.5917230890395,1703.3099202262113,303.2360168067688,1985.9313033881735,19437.733788619556,809.8902243913341,78.35568546077923,31749.12307851845,667.3460869507402,10545.774946963787,4936.930434945293,300.07781722133666,3273.488454643967,849.5425350154376,21861.36487171971,447.6106881517828,73.40667777278439,11.586717638397207,14.552151020479524,381.8140703126098,74.2330587691935,3701.9201137875,493.0715433487725,3648.1093471586096,6184.331229099948,2839.1268023670114,288.7061676749524,832.0440196478091,1053.295656849991,407.761654884392,12845.008696839737
13,259.7508090516521,4397.826827121174,137.67947762179082,2310.6718155795816,1087.1437224823858,2504.8943513521135,230.90175138119739,1857.438039842469,18940.08050995599,803.5977128015986,32.45415334679223,35108.21004744815,165.36545952315618,11491.345554911984,4253.311094569999,280.78706693793055,3073.212796977037,1082.7274148301183,18929.67088383021,354.61009891000833,93.69870958998874,7.497845900050848,11.862116416631993,347.15149486658356,64.30224240816295,4382.702327025,535.219374438985,2999.2000452203624,6939.267903350002,2390.543482793097,253.47386877056246,748.9839447253408,1096.1445694288427,360.60516728662157,14133.292098231834
14,182.67582585292,3484.1915368182586,102.38149772660825,2512.9089037570343,762.2010875789414,2040.284839860357,156.74299814923157,1314.0855112782285,14686.244113589679,493.9342468063094,0.0,34140.88033913221,0.0,10469.065858815715,3222.434773209893,215.90709036535114,2131.7318358695693,1234.3253294623632,13810.19894462176,140.0255718983996,100.26497898753851,1.6761575018517956,8.407609074445944,266.1605871371436,42.905752671286,4000.9968096454127,376.52863796998616,1905.8061878924948,7000.594557618323,1679.3982453382007,178.98006017947716,281.9552888650455,913.2477815834825,248.61146969932832,12888.386083143954
15,94.87860599730217,2122.134589221644,53.26063227464188,1494.0558030059249,359.07888678659924,1099.6540756290428,55.84883313134458,687.6299731850032,7305.433130246925,83.54332869745986,0.0,28926.45231268275,0.0,7675.191101195701,1771.5708850015753,122.57743424072976,992.6062504108269,1210.0316779007717,6893.609218553745,0.0,65.26041639842079,0.0,3.7133693881921412,146.82090748370962,25.30064211622646,2359.3965317170873,2.6090725018275003,695.0775991866359,6311.796685560964,840.0251534841905,89.98577634843441,0.0,581.0510931448515,128.2154222846676,9608.545318985596
16,10.95864460076154,75.66375954925999,3.3418842864284106,502.76080717459286,0.0,436.9376225844707,0.0,0.0,513.2127675819595,0.0,0.0,20496.7242248293,0.0,4167.833031248553,123.09542168675439,33.7824799793931,0.0,860.5861958294105,261.50099748732305,0.0,10.51324901729958,0.0,0.00016959336303024177,0.0,11.043744835436119,312.00793956708753,0.0,0.0,4939.006289945434,0.0,0.0,0.0,114.96836745363228,0.0,4870.979901192361
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10126.487509080682,0.0,125.15989240801342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2856.765314681716,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.7906261447848,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,81.79699291865309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.559391906565246,0.0,0.0,0.0,31.621300065757403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,36.780813958141856,0.0,12.356007177774444,0.0,418.7011559196066,0.0,201.9788024429188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859.4777863631964,8.947683832557416,464.2419770942442,0.0,3122.235035706506,0.0,0.0,0.0,0.39580338717632163,95.25942528228676,27.630426735812463,0.0,0.0,5.888053581220419,0.0,713.9543463123307,49.57234130811916,0.0,0.0,5.5871152009242,0.0
33,84.0678087739152,1207.58527658837,43.661326935000126,0.0,934.2222162750455,127.40364963327252,279.83444209009514,290.91686691197447,1348.0966456671765,0.0,0.327267640997636,4218.944253549841,0.0,1782.8261666096266,3733.387677504988,61.637139093943574,1440.7457665765428,0.0,9602.97395004036,140.29787595819846,0.0,5.176667136155603,1.4777508144373568,195.1315400272448,72.84289748112703,0.0,0.0,954.9756611231993,0.0,1576.1888047075122,124.242375315597,0.0,411.06459817304693,141.70065646377884,0.0
34,81.4941081126462,2415.7799227753417,82.36141265507166,1567.1320282013446,1431.7634277223704,482.69876293214236,274.67795474480033,850.8118588385335,9153.449132093427,2482.340101744441,77.99345602572082,14983.69831899623,1292.0395552745508,6892.599857543524,5198.9637819825775,117.13218663394032,2270.9266010784863,0.0,14478.862203412084,442.70397349102427,37.81736092859551,14.16261267843807,1.6587508173265575,276.1176349855057,102.06839479231748,8112.5015312545875,2.3607976557789,2079.605066698331,1991.9440207451717,2402.2493723193716,221.1788294394021,573.5922431685524,831.770052390501,292.40789345212244,3523.777774407174
35,60.26432656688976,3518.7078522984343,105.99479390368978,3268.2625459121973,1635.2778679911034,753.9534030311796,257.1226469699471,1360.887932052616,16531.37773197152,4413.276409688259,131.85624647120372,24788.97623335705,1975.5639537886386,11588.558913081504,5382.262973242645,165.04301801123006,2391.8380497719245,1182.4275564138773,17300.474315027222,595.0079584686655,73.78039494785116,19.190062033716377,1.3922879046503993,282.39486320636956,118.92459187413681,15275.870226787501,460.4818336036056,2937.4682866383623,3870.032652974525,2779.646187419755,296.0574776400017,1386.6156086583392,1155.5320444900374,433.44686170152596,8471.785713665215
36,52.69902354228612,4435.876899582934,110.9649742320783,3869.338844081429,1578.2278157790588,988.6314007155245,244.91629897872136,1558.9074527976086,21248.08371582639,5318.553324692804,141.0368639220434,32162.953400909537,1688.500725313735,14568.724554844859,4754.251414253059,203.95073475134905,2290.127379346092,1937.1906203666845,16604.66719834126,650.1202817107386,91.13656145842485,20.728843194112564,0.9638923980464573,251.375245929816,124.68041905048835,17959.4938994625,788.8797764516142,3290.344162600907,5571.087110302305,2774.420927873165,317.51109023099866,1735.2784653950305,1310.4397729967645,477.71544506800234,11866.165483033365
37,45.8247392461767,4422.490978089698,93.62591044425376,3285.0512837781857,1331.3943210510615,1415.6652631723396,199.1736288025394,1355.8991761114767,20814.118050563786,5216.336289413177,100.2649603293514,35603.6921489615,773.0057201590856,15120.199347126914,3765.7528406364777,205.11775785762197,2136.9537674504068,2326.5518557653877,14196.54038023367,604.6537024917923,99.67446229890881,15.809576808923932,0.43868053222690095,189.36258644405464,114.31230008113593,15878.6504699625,802.1758876074962,2868.8531818356164,6654.322308970757,2384.576269308929,259.24252973489695,1643.9445043136302,1261.2006470652293,412.7106457837146,12686.472202441955
