Country,Solar,Wind_Offshore,Wind_Onshore,Nuclear,Battery,Battery_MWh,Coal,CCGT,OCGT,Run_of_River,Hydro_Storage,Hydro_Storage_GWh
AL,600.0,0.0,280.0,0.0,0.0,0.0,0.0,450.0,0.0,603.7,2031.7,1721.7
AT,12000.3,0.0,9000.0,0.0,67.8,101.6,0.0,4216.65,102.6,5228.6,9993.9,2524.6
BA,454.8,0.0,786.6,0.0,0.0,0.0,2622.0,0.0,0.0,40.8,2454.6,1800.6000000000001
BE,13610.0,5760.0,5248.0,2077.0,594.4,2046.3,531.5999999999999,5260.65,366.0,148.2,1305.0,11.6
BG,3458.2,0.0,948.0,2000.0,1600.0,6000.0,3756.0,1632.0,30.0,535.5,2680.3,879.5
CH,9770.3,0.0,310.0,1190.0,1221.3,610.6,0.0,0.0,0.0,4215.0,12890.0,9162.0
CY,852.0,0.0,197.5,0.0,0.0,0.0,0.0,1288.9499999999998,0.0,0.0,0.0,0.0
CZ,11405.7,0.0,958.3,4047.2,637.3,842.0,7186.200000000001,3534.6000000000004,196.65,431.6,1859.1,8.5
DE,215002.0,30521.3,115000.7,0.0,3200.4,6400.8,0.0,33368.850000000006,3598.65,3933.9,9972.9,951.4
DK,17744.4,8250.6,7305.6,0.0,160.0,2000.0,2915.4,238.95,1315.5,0.0,0.0,0.0
EE,1160.0,0.0,861.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0
ES,64848.1,2800.0,48317.5,5100.4,2500.0,5000.0,0.0,30776.4,0.0,3424.7,21465.5,20639.3
FI,10695.2,1000.0,25992.5,4394.0,1000.0,2000.0,1794.0,1378.5,187.5,0.0,3236.6,5530.0
FR,42282.2,3875.0,31300.0,61761.0,470.0,940.0,0.0,9829.5,954.0,13600.0,13647.0,10100.0
GR,13863.0,2700.0,7100.0,0.0,5600.0,16800.0,0.0,11309.4,221.7,361.0,4144.7,4053.0
HR,720.2,510.0,1442.0,0.0,70.0,498.0,435.0,1120.5,0.0,63.1,2550.4,2068.2000000000003
HU,9917.7,0.0,334.3,3097.0,380.2,1064.4,153.14999999999998,5168.1,402.0,64.2,0.0,0.0
IE,7987.0,5025.2,8952.8,0.0,2250.0,12287.0,277.65,8553.599999999999,174.0,215.0,592.0,3.5
IT,74600.5,8500.0,18410.8,0.0,14908.6,94765.4,0.0,57942.45,6479.549999999999,7028.6,16602.8,5918.2
LT,5000.3,1400.0,5000.0,0.0,1200.0,2200.0,0.0,1369.5,0.0,126.2,938.0,10.6
LU,608.5,0.0,400.0,0.0,25.0,25.0,0.0,0.0,0.0,42.0,0.0,0.0
LV,146.0,500.0,237.0,0.0,80.0,160.0,0.0,1615.5,0.0,0.0,1592.0,16.0
ME,31.5,0.0,254.2,0.0,0.0,0.0,675.0,0.0,0.0,78.9,1058.4,582.4
MK,630.0,0.0,410.0,0.0,0.0,0.0,0.0,1049.25,0.0,230.5,728.6,628.3
MT,281.6,0.0,0.0,0.0,0.0,0.0,0.0,715.95,0.0,0.0,0.0,0.0
NL,59317.1,16542.5,9100.0,486.0,9331.0,26397.2,0.0,14429.25,718.5,37.0,0.0,0.0
NO,4000.0,3003.5,5773.2,0.0,0.0,0.0,0.0,0.0,0.0,7467.9,28359.2,80489.3
PL,21663.4,10004.0,13767.8,0.0,0.0,0.0,28240.800000000003,14431.05,0.0,367.1,1977.1000000000001,8.4
PT,11675.4,2000.0,8699.5,0.0,0.0,0.0,0.0,4258.5,0.0,505.0,7870.9,2021.6000000000001
RO,8300.0,1000.0,6000.0,1739.0,400.0,800.0,195.0,7066.650000000001,190.2,3366.5,3371.8,3372.8
RS,794.8,0.0,4812.2,0.0,0.0,0.0,7034.549999999999,274.35,0.0,2131.8,1748.3,1144.0
SE,7301.8,600.0,17952.2,6883.0,254.9,764.8,0.0,0.0,226.5,0.0,15617.2,31931.3
SI,2750.0,0.0,122.4,696.0,606.8,1102.1,930.0,255.0,723.0,128.4,1253.7,7.4
SK,1500.0,0.0,715.0,2814.6,266.0,676.7,563.0999999999999,1912.05,0.0,1425.3,1260.4,82.9
UK,35042.4,52467.5,32199.2,5510.0,15506.5,24530.5,27.0,35948.25,3685.35,2219.5,2744.0,26.4
